101	15	8	30	25	1
201	15	48	30	65	1
102	54	5	71	27	1
202	54	45	71	67	1
103	94	4	111	29	1
203	94	44	111	69	1
105	174	0	191	22	1
205	174	50	191	72	1
401	216	88	229	105	1
411	176	88	189	105	1
402	255	88	271	105	1
412	134	88	150	105	1
403	334	88	351	105	1
413	54	88	71	105	1
501	215	128	230	145	1
511	175	128	190	145	1
502	254	128	271	145	1
512	134	128	151	145	1
601	214	168	231	185	1
602	254	168	271	185	1
611	174	168	191	185	1
612	134	168	151	185	1
603	335	168	350	185	1
604	375	168	391	185	1
613	55	168	70	185	1
614	14	168	30	185	1
701	214	208	231	225	1
711	174	208	191	225	1
705	374	208	391	225	1
715	14	208	31	225	1
801	215	242	230	270	1
811	175	242	190	270	1
802	254	242	271	270	1
803	294	243	311	270	1
812	134	242	151	270	1
813	94	243	111	270	1
804	334	243	351	270	1
814	55	243	71	270	1
805	375	243	391	270	1
815	15	243	30	270	1
901	214	282	231	311	1
911	174	282	191	311	1
902	251	282	274	311	1
912	132	282	152	311	1
10001	212	322	232	350	1
10002	252	322	272	350	1
10003	292	322	312	350	1
10101	171	322	193	350	1
10102	133	322	153	350	1
10103	93	322	113	350	1
10004	330	322	345	350	1
10005	355	322	371	350	1
10006	380	322	396	350	1
10104	60	322	75	350	1
10105	34	322	50	350	1
10106	9	322	25	350	1
11003	332	363	352	390	1
11103	53	363	73	390	1
11901	217	363	233	390	1
11902	174	363	189	390	1
13001	211	442	233	471	1
13101	184	442	206	471	1
13003	285	442	308	471	1
13004	313	442	337	471	1
13103	101	442	124	471	1
13104	69	442	93	471	1
13005	343	442	367	471	1
13105	44	442	68	471	1
13006	371	442	394	471	1
13106	11	442	34	471	1
13301	209	442	233	471	1
13302	235	442	259	471	1
13303	347	482	371	511	1
13304	137	442	170	471	1
13305	382	482	406	511	1
13401	176	442	206	471	1
13402	138	442	170	471	1
13403	348	482	371	511	1
13404	235	442	259	471	1
13405	380	482	406	511	1
14001	214	481	231	512	1
14101	174	481	191	512	1
14002	246	481	269	512	1
14102	136	481	159	512	1
15001	210	522	235	551	1
15002	250	522	275	551	1
15003	290	522	315	551	1
15101	170	522	196	551	1
15102	130	522	155	551	1
15103	90	522	115	551	1
15004	321	522	343	551	1
15005	350	522	373	551	1
15006	380	522	404	551	1
15104	62	522	84	551	1
15105	32	522	55	551	1
15106	1	522	26	551	1
17001	210	602	234	630	1
17101	171	602	195	630	1
17002	251	602	274	631	1
17102	131	602	154	631	1
17003	290	602	315	631	1
17103	90	602	115	631	1
17004	330	602	356	630	1
17104	50	602	75	630	1
17005	370	602	395	630	1
17105	10	602	35	630	1
19001	215	682	229	710	1
19101	176	682	190	710	1
19002	255	682	271	710	1
19003	294	682	311	710	1
19102	134	682	151	710	1
19103	94	682	111	710	1
19004	334	682	351	710	1
19104	54	682	72	710	1
19005	375	682	390	710	1
19105	15	682	30	710	1
20001	214	722	231	751	1
20101	174	722	191	751	1	
20002	251	722	273	751	1
20102	132	722	154	751	1
21001	212	762	232	790	1
21002	252	762	272	790	1
21003	292	762	312	790	1
21101	173	762	193	790	1
21102	133	762	153	790	1
21103	93	762	113	790	1
21004	330	762	345	790	1
21005	355	762	371	790	1
21006	379	762	396	790	1
21104	60	762	75	790	1
21105	34	762	50	790	1
21106	9	762	26	790	1
22003	332	802	352	830	1
22103	53	802	73	830	1
22004	365	802	380	830	1
22005	385	802	400	830	1	
22104	25	802	40	830	1
22105	5	802	20	830	1
22001	252	802	272	830	1
22002	293	802	312	830	1
22101	133	802	153	830	1
22102	93	802	112	830	1
10	52	10	60	20	2
11	60	10	70	20	2
12	70	10	78	20	2
13	78	10	88	20	2
14	83	1	88	11	2
15	70	0	80	10	2
16	62	0	70	10	2
17	52	0	62	10	2
20	89	0	106	17	2
21	107	2	120	15	2
22	123	2	136	15	2
23	139	2	151	15	2
24	154	0	171	17	2
25	171	0	188	17	2
26	154	17	171	35	2
27	171	17	188	35	2
30	154	0	171	17	2
31	171	0	188	17	2
32	154	17	171	34	2
33	171	17	188	34	2
50000	1003	17	1020	34	6
50001	697	0	714	17	6
50010	1139	0	1156	17	6
50011	1156	0	1173	17	6
50012	1173	0	1190	17	6
50013	1190	0	1207	17	6
50014	1207	0	1224	17	6
50020	1037	0	1054	17	6
50021	1054	0	1071	17	6
50022	1071	0	1088	17	6
50023	1088	0	1105	17	6
50031	195	4	204	14	2
50032	206	4	215	14	2
50100	1173	68	1190	85	6
50101	1190	68	1207	85	6
50102	1207	68	1224	85	6
50103	1224	68	1241	85	6
51100	952	68	968	85	6
51101	968	68	986	85	6
51102	986	68	1003	85	6
51103	1003	68	1020	85	6
51104	1020	68	1037	85	6
52000	84	171	100	186	2
52100	125	171	142	186	2
53000	104	154	121	171	2
53100	104	171	121	188	2
90000	3	225	156	254	2
90001	116	259	141	288	2
90002	41	259	66	288	2
90003	66	259	91	288	2
90004	91	259	116	288	2
91001	11	260	20	268	2
91002	20	260	36	268	2
92001	16	270	33	278	2
92002	16	278	33	286	2
90005	235	260	268	293	2
90006	200	260	233	293	2
90007	164	260	197	293	2
60000	0	0	17	17	2
60001	17	0	34	17	2
60002	34	0	51	17	2
60003	89	17	106	34	2
61000	0	17	16	34	2
61001	17	17	34	34	2
61101	222	38	243	62	2
61102	248	38	269	62	2
61002	32	17	48	34	2
61003	106	17	123	34	2
62001	34	34	51	62	2
62002	51	34	68	62	2
62101	17	34	34	62	2
62102	0	34	17	62	2
62300	0	62	17	79	2
62301	17	62	34	79	2
62302	34	62	51	79	2
62303	51	62	68	79	2
62304	0	79	17	96	2
62305	17	79	34	96	2
62306	34	79	51	96	2
62307	51	79	68	96	2
62308	68	62	85	79	2
62309	68	79	85	96	2
63001	102	34	119	62	2
63002	119	34	136	62	2
63101	85	34	102	62	2
63102	68	34	85	62	2
63201	195	34	213	62	2
63202	176	34	194	62	2
63211	137	34	155	62	2
63212	156	34	174	62	2
63300	85	62	102	79	2
63301	102	62	119	79	2
63302	119	62	136	79	2
63303	136	62	153	79	2
63304	85	79	102	96	2
63305	102	79	119	96	2
63306	119	79	136	96	2
63307	136	79	153	96	2
63308	153	62	170	79	2
63309	153	79	170	96	2
64001	0	100	17	133	2
64002	17	100	34	133	2
64101	136	100	153	133	2
64102	153	100	170	133	2
64201	68	100	85	133	2
64202	85	100	102	133	2
64301	119	100	136	133	2
64302	102	100	119	133	2
64401	51	100	68	133	2
64402	34	100	51	133	2
65101	272	100	289	133	2
65102	289	100	306	133	2
65103	204	100	221	133	2
65104	221	100	238	133	2
65201	255	100	272	133	2
65202	238	100	255	133	2
65203	187	100	204	133	2
65204	170	100	187	133	2
54000	5	154	37	186	2
54001	41	154	73	202	2
66001	180	66	197	82	2
66002	197	66	214	82	2
66101	214	66	231	82	2
66102	231	66	248	82	2
70000	0	16	16	32	5
70001	16	16	32	32	5
70002	32	16	48	32	5
70003	48	16	64	32	5
